date,ticker,sector,maturity_tenor,coupon,risk_free_rate,spread,yield,price
2015-01-15,CNS_RET_1,Consumer,5Y,7.0,0.012199999999999999,0.035,0.047200000000000006,109.9481
2015-01-15,CNS_STAP_1,Consumer,5Y,3.0,0.012199999999999999,0.006,0.0182,105.5911
2015-01-15,FIN_BANK_1,Financials,5Y,3.5,0.012199999999999999,0.011,0.0232,105.5106
2015-01-15,FIN_INS_1,Financials,5Y,3.5,0.012199999999999999,0.013,0.0252,104.5503
2015-01-15,IND_AUTO_1,Industrial,5Y,4.0,0.012199999999999999,0.018,0.030199999999999998,104.4856
2015-01-15,IND_ENGY_1,Energy,5Y,4.5,0.012199999999999999,0.025,0.0372,103.4999
2015-01-15,TMT_CORP_1,Technology,5Y,3.5,0.012199999999999999,0.008,0.0202,106.9719
2015-01-15,TMT_CORP_2,Technology,5Y,3.5,0.012199999999999999,0.012,0.0242,105.0291
2015-01-16,CNS_RET_1,Consumer,5Y,7.0,0.0129,0.035307,0.04820693237678966,109.4822
2015-01-16,CNS_STAP_1,Consumer,5Y,3.0,0.0129,0.00578,0.01868031514151701,105.356
2015-01-16,FIN_BANK_1,Financials,5Y,3.5,0.0129,0.010988,0.023888210552193062,105.1789
2015-01-16,FIN_INS_1,Financials,5Y,3.5,0.0129,0.013019,0.025919016527580708,104.2077
2015-01-16,IND_AUTO_1,Industrial,5Y,4.0,0.0129,0.017992,0.03089244238326712,104.1604
2015-01-16,IND_ENGY_1,Energy,5Y,4.5,0.0129,0.023615,0.03651506838226574,103.8146
2015-01-16,TMT_CORP_1,Technology,5Y,3.5,0.0129,0.007965,0.0208651606708479,106.6457
2015-01-16,TMT_CORP_2,Technology,5Y,3.5,0.0129,0.011211,0.02411117793275805,105.0717
2015-01-19,CNS_RET_1,Consumer,5Y,7.0,0.0129,0.035095,0.0479951275133421,109.58
2015-01-19,CNS_STAP_1,Consumer,5Y,3.0,0.0129,0.005873,0.018773203528129712,105.3106
2015-01-19,FIN_BANK_1,Financials,5Y,3.5,0.0129,0.009788,0.022687551547152164,105.7584
2015-01-19,FIN_INS_1,Financials,5Y,3.5,0.0129,0.013152,0.026051967230178913,104.1445
2015-01-19,IND_AUTO_1,Industrial,5Y,4.0,0.0129,0.017376,0.030276375779348712,104.4496
2015-01-19,IND_ENGY_1,Energy,5Y,4.5,0.0129,0.021948,0.034847869576126816,104.5857
2015-01-19,TMT_CORP_1,Technology,5Y,3.5,0.0129,0.008129,0.021028639344778444,106.5657
2015-01-19,TMT_CORP_2,Technology,5Y,3.5,0.0129,0.010995,0.02389490856972622,105.1757
2015-01-20,CNS_RET_1,Consumer,5Y,7.0,0.0131,0.036497,0.04959718784397212,108.8432
2015-01-20,CNS_STAP_1,Consumer,5Y,3.0,0.0131,0.005635,0.018734631355783325,105.3294
2015-01-20,FIN_BANK_1,Financials,5Y,3.5,0.0131,0.009247,0.022346969005499817,105.9235
2015-01-20,FIN_INS_1,Financials,5Y,3.5,0.0131,0.012864,0.02596424385868259,104.1862
2015-01-20,IND_AUTO_1,Industrial,5Y,4.0,0.0131,0.016436,0.029535682723714422,104.7987
2015-01-20,IND_ENGY_1,Energy,5Y,4.5,0.0131,0.022304,0.03540410166102731,104.3276
2015-01-20,TMT_CORP_1,Technology,5Y,3.5,0.0131,0.008511,0.021611385848967386,106.2813
2015-01-20,TMT_CORP_2,Technology,5Y,3.5,0.0131,0.010989,0.024089152083616405,105.0823
2015-01-21,CNS_RET_1,Consumer,5Y,7.0,0.013500000000000002,0.037793,0.05129320898455052,108.0702
2015-01-21,CNS_STAP_1,Consumer,5Y,3.0,0.013500000000000002,0.005541,0.019040858463343708,105.18
2015-01-21,FIN_BANK_1,Financials,5Y,3.5,0.013500000000000002,0.008952,0.02245183449896835,105.8727
2015-01-21,FIN_INS_1,Financials,5Y,3.5,0.013500000000000002,0.012455,0.02595498536087909,104.1906
2015-01-21,IND_AUTO_1,Industrial,5Y,4.0,0.013500000000000002,0.0169,0.03039954963607253,104.3917
2015-01-21,IND_ENGY_1,Energy,5Y,4.5,0.013500000000000002,0.02195,0.035449932532681014,104.3064
2015-01-21,TMT_CORP_1,Technology,5Y,3.5,0.013500000000000002,0.008448,0.021948326126531345,106.1172
2015-01-21,TMT_CORP_2,Technology,5Y,3.5,0.013500000000000002,0.010651,0.02415134102219487,105.0524
2015-01-22,CNS_RET_1,Consumer,5Y,7.0,0.0139,0.039449,0.05334895661284249,107.1428
2015-01-22,CNS_STAP_1,Consumer,5Y,3.0,0.0139,0.005745,0.019644816827330373,104.8859
2015-01-22,FIN_BANK_1,Financials,5Y,3.5,0.0139,0.009585,0.023484741833248956,105.3732
2015-01-22,FIN_INS_1,Financials,5Y,3.5,0.0139,0.012671,0.02657086000898578,103.8984
2015-01-22,IND_AUTO_1,Industrial,5Y,4.0,0.0139,0.017341,0.031240910278009414,103.9972
2015-01-22,IND_ENGY_1,Energy,5Y,4.5,0.0139,0.022151,0.03605075230571213,104.0286
2015-01-22,TMT_CORP_1,Technology,5Y,3.5,0.0139,0.008386,0.02228577101497313,105.9532
2015-01-22,TMT_CORP_2,Technology,5Y,3.5,0.0139,0.010305,0.024205402615788484,105.0265
2015-01-23,CNS_RET_1,Consumer,5Y,7.0,0.013300000000000001,0.038032,0.05133171483592779,108.0527
2015-01-23,CNS_STAP_1,Consumer,5Y,3.0,0.013300000000000001,0.005854,0.019153609404654597,105.125
2015-01-23,FIN_BANK_1,Financials,5Y,3.5,0.013300000000000001,0.009191,0.02249146661902538,105.8535
2015-01-23,FIN_INS_1,Financials,5Y,3.5,0.013300000000000001,0.01277,0.02607003972285013,104.136
