date,ticker,signal_strength
2021-01-01,CNS_RET_1,0.25
2021-01-04,CNS_RET_1,0.5
2021-01-05,CNS_RET_1,0.25
2021-01-06,CNS_RET_1,0.375
2021-01-07,CNS_RET_1,0.375
2021-01-08,CNS_RET_1,0.5
2021-01-11,CNS_RET_1,0.5
2021-01-12,CNS_RET_1,0.375
2021-01-13,CNS_RET_1,0.375
2021-01-14,CNS_RET_1,0.5
2021-01-15,CNS_RET_1,-0.25
2021-01-18,CNS_RET_1,-0.375
2021-01-19,CNS_RET_1,-0.375
2021-01-20,CNS_RET_1,-0.375
2021-01-21,CNS_RET_1,-0.375
2021-01-22,CNS_RET_1,-0.125
2021-01-25,CNS_RET_1,0.375
2021-01-26,CNS_RET_1,-0.25
2021-01-27,CNS_RET_1,-0.125
2021-01-28,CNS_RET_1,-0.375
2021-01-29,CNS_RET_1,-0.125
2021-02-01,CNS_RET_1,-0.375
2021-02-02,CNS_RET_1,-0.375
2021-02-03,CNS_RET_1,0.125
2021-02-04,CNS_RET_1,-0.125
2021-02-05,CNS_RET_1,-0.25
2021-02-08,CNS_RET_1,0.5
2021-02-09,CNS_RET_1,-0.25
2021-02-10,CNS_RET_1,0.25
2021-02-11,CNS_RET_1,0.25
2021-02-12,CNS_RET_1,0.25
2021-02-15,CNS_RET_1,0.25
2021-02-16,CNS_RET_1,0.125
2021-02-17,CNS_RET_1,0.5
2021-02-18,CNS_RET_1,-0.375
2021-02-19,CNS_RET_1,-0.375
2021-02-22,CNS_RET_1,-0.375
2021-02-23,CNS_RET_1,-0.375
2021-02-24,CNS_RET_1,-0.25
2021-02-25,CNS_RET_1,0.25
2021-02-26,CNS_RET_1,-0.375
2021-03-01,CNS_RET_1,-0.375
2021-03-02,CNS_RET_1,-0.375
2021-03-03,CNS_RET_1,-0.375
2021-03-04,CNS_RET_1,-0.375
2021-03-05,CNS_RET_1,-0.375
2021-03-08,CNS_RET_1,-0.375
2021-03-09,CNS_RET_1,-0.375
2021-03-10,CNS_RET_1,0.5
2021-03-11,CNS_RET_1,0.5
2021-03-12,CNS_RET_1,0.5
2021-03-15,CNS_RET_1,0.375
2021-03-16,CNS_RET_1,0.125
2021-03-17,CNS_RET_1,0.125
2021-03-18,CNS_RET_1,-0.375
2021-03-19,CNS_RET_1,0.125
2021-03-22,CNS_RET_1,-0.25
2021-03-23,CNS_RET_1,0.125
2021-03-24,CNS_RET_1,0.125
2021-03-25,CNS_RET_1,0.125
2021-03-26,CNS_RET_1,0.125
2021-03-29,CNS_RET_1,0.125
2021-03-30,CNS_RET_1,0.125
2021-03-31,CNS_RET_1,0.125
2021-04-01,CNS_RET_1,0.125
2021-04-02,CNS_RET_1,0.125
2021-04-05,CNS_RET_1,0.25
2021-04-06,CNS_RET_1,0.25
2021-04-07,CNS_RET_1,0.25
2021-04-08,CNS_RET_1,-0.375
2021-04-09,CNS_RET_1,0.125
2021-04-12,CNS_RET_1,0.125
2021-04-13,CNS_RET_1,0.125
2021-04-14,CNS_RET_1,0.125
2021-04-15,CNS_RET_1,0.375
2021-04-16,CNS_RET_1,0.125
2021-04-19,CNS_RET_1,0.125
2021-04-20,CNS_RET_1,0.5
2021-04-21,CNS_RET_1,0.5
2021-04-22,CNS_RET_1,0.5
2021-04-23,CNS_RET_1,0.125
2021-04-26,CNS_RET_1,0.125
2021-04-27,CNS_RET_1,0.125
2021-04-28,CNS_RET_1,0.125
2021-04-29,CNS_RET_1,0.125
2021-04-30,CNS_RET_1,0.25
2021-05-03,CNS_RET_1,0.5
2021-05-04,CNS_RET_1,0.5
2021-05-05,CNS_RET_1,0.25
2021-05-06,CNS_RET_1,-0.375
2021-05-07,CNS_RET_1,-0.375
2021-05-10,CNS_RET_1,0.25
2021-05-11,CNS_RET_1,-0.375
2021-05-12,CNS_RET_1,-0.375
2021-05-13,CNS_RET_1,-0.375
2021-05-14,CNS_RET_1,0.125
2021-05-17,CNS_RET_1,-0.375
2021-05-18,CNS_RET_1,0.25
2021-05-19,CNS_RET_1,0.25
2021-05-20,CNS_RET_1,0.25
2021-05-21,CNS_RET_1,0.5
2021-05-24,CNS_RET_1,0.5
2021-05-25,CNS_RET_1,0.5
2021-05-26,CNS_RET_1,0.5
2021-05-27,CNS_RET_1,-0.375
2021-05-28,CNS_RET_1,-0.375
2021-05-31,CNS_RET_1,-0.375
2021-06-01,CNS_RET_1,0.5
2021-06-02,CNS_RET_1,0.5
2021-06-03,CNS_RET_1,0.125
2021-06-04,CNS_RET_1,-0.375
2021-06-07,CNS_RET_1,0.375
2021-06-08,CNS_RET_1,0.125
2021-06-09,CNS_RET_1,-0.375
2021-06-10,CNS_RET_1,0.375
2021-06-11,CNS_RET_1,0.375
2021-06-14,CNS_RET_1,0.25
2021-06-15,CNS_RET_1,0.125
2021-06-16,CNS_RET_1,0.125
2021-06-17,CNS_RET_1,0.25
2021-06-18,CNS_RET_1,0.25
2021-06-21,CNS_RET_1,0.25
2021-06-22,CNS_RET_1,0.5
2021-06-23,CNS_RET_1,0.5
2021-06-24,CNS_RET_1,0.5
2021-06-25,CNS_RET_1,0.5
2021-06-28,CNS_RET_1,0.5
2021-06-29,CNS_RET_1,0.5
2021-06-30,CNS_RET_1,0.5
2021-07-01,CNS_RET_1,0.5
2021-07-02,CNS_RET_1,0.5
2021-07-05,CNS_RET_1,0.5
2021-07-06,CNS_RET_1,0.5
2021-07-07,CNS_RET_1,0.5
2021-07-08,CNS_RET_1,0.5
2021-07-09,CNS_RET_1,0.5
2021-07-12,CNS_RET_1,-0.375
2021-07-13,CNS_RET_1,-0.375
2021-07-14,CNS_RET_1,-0.375
2021-07-15,CNS_RET_1,-0.375
2021-07-16,CNS_RET_1,-0.375
2021-07-19,CNS_RET_1,-0.375
2021-07-20,CNS_RET_1,-0.375
2021-07-21,CNS_RET_1,-0.375
2021-07-22,CNS_RET_1,-0.375
2021-07-23,CNS_RET_1,-0.375
2021-07-26,CNS_RET_1,-0.375
2021-07-27,CNS_RET_1,-0.375
2021-07-28,CNS_RET_1,-0.375
2021-07-29,CNS_RET_1,-0.375
2021-07-30,CNS_RET_1,-0.375
2021-08-02,CNS_RET_1,-0.375
2021-08-03,CNS_RET_1,-0.375
2021-08-04,CNS_RET_1,-0.375
2021-08-05,CNS_RET_1,-0.375
2021-08-06,CNS_RET_1,-0.375
2021-08-09,CNS_RET_1,0.125
2021-08-10,CNS_RET_1,0.25
2021-08-11,CNS_RET_1,0.125
2021-08-12,CNS_RET_1,0.25
2021-08-13,CNS_RET_1,0.25
2021-08-16,CNS_RET_1,0.25
2021-08-17,CNS_RET_1,0.25
2021-08-18,CNS_RET_1,0.25
2021-08-19,CNS_RET_1,0.375
2021-08-20,CNS_RET_1,0.25
2021-08-23,CNS_RET_1,0.25
2021-08-24,CNS_RET_1,0.5
2021-08-25,CNS_RET_1,0.375
2021-08-26,CNS_RET_1,0.5
2021-08-27,CNS_RET_1,0.375
2021-08-30,CNS_RET_1,0.375
2021-08-31,CNS_RET_1,0.5
2021-09-01,CNS_RET_1,0.5
2021-09-02,CNS_RET_1,0.5
2021-09-03,CNS_RET_1,0.5
2021-09-06,CNS_RET_1,0.5
2021-09-07,CNS_RET_1,0.125
2021-09-08,CNS_RET_1,0.125
2021-09-09,CNS_RET_1,0.375
2021-09-10,CNS_RET_1,0.125
2021-09-13,CNS_RET_1,0.5
2021-09-14,CNS_RET_1,0.5
2021-09-15,CNS_RET_1,0.125
2021-09-16,CNS_RET_1,0.125
2021-09-17,CNS_RET_1,0.125
2021-09-20,CNS_RET_1,0.125
2021-09-21,CNS_RET_1,0.0
2021-09-22,CNS_RET_1,0.125
2021-09-23,CNS_RET_1,0.5
2021-09-24,CNS_RET_1,0.5
2021-09-27,CNS_RET_1,0.5
2021-09-28,CNS_RET_1,0.4375
2021-09-29,CNS_RET_1,0.5
2021-09-30,CNS_RET_1,0.25
2021-10-01,CNS_RET_1,0.5
2021-10-04,CNS_RET_1,0.375
2021-10-05,CNS_RET_1,0.125
2021-10-06,CNS_RET_1,0.5
2021-10-07,CNS_RET_1,0.5
2021-10-08,CNS_RET_1,0.5
2021-10-11,CNS_RET_1,0.5
2021-10-12,CNS_RET_1,0.5
2021-10-13,CNS_RET_1,0.25
2021-10-14,CNS_RET_1,0.25
2021-10-15,CNS_RET_1,0.25
2021-10-18,CNS_RET_1,0.5
2021-10-19,CNS_RET_1,0.5
